Parametro,Valor
freq_MHz,3000.0
Pt_kW,50.0
tau_us,50.0
NF_dB,1.5
L_sys_dB,2.0
G_dBi,32.0
theta_v_deg,12.0
theta_h_deg,2.0
tilt_deg,2.0
rpm,27.0
prf_hz,1200.0
pfa_exp,8.0
RCS_sqm,94.0
altura_m,28.0
